"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Jaron Johnson",4000,"Was@Tor 07:30PM ET",0,"Was"
"SF","Anthony Bennett",4000,"Was@Tor 07:30PM ET",12.535,"Tor"
"SG","Nick Wiggins",4000,"Mil@Min 08:00PM ET",0,"Min"
"SF","DeQuan Jones",4000,"Atl@Det 07:30PM ET",0,"Atl"
"PG","Delon Wright",4000,"Was@Tor 07:30PM ET",0,"Tor"
"PF","Jarell Martin",4000,"Mem@Orl 07:00PM ET",0,"Mem"
"PF","Jordan Mickey",4000,"Phi@Bos 07:30PM ET",0,"Bos"
"PF","Christian Wood",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"PG","Tyler Ennis",4000,"Mil@Min 08:00PM ET",9.419,"Mil"
"SG","James Young",4000,"Phi@Bos 07:30PM ET",6.548,"Bos"
"PF","Maurice Ndour",4000,"Dal@Chi 08:00PM ET",0,"Dal"
"SG","Denzel Livingston",4000,"Hou@SA 08:30PM ET",0,"Hou"
"C","Joel Embiid",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"PF","Chris Walker",4000,"Hou@SA 08:30PM ET",0,"Hou"
"SF","Bruno Caboclo",4000,"Was@Tor 07:30PM ET",1.688,"Tor"
"SF","Damien Inglis",4000,"Mil@Min 08:00PM ET",0,"Mil"
"C","Walter Tavares",4000,"Atl@Det 07:30PM ET",0,"Atl"
"SF","Damjan Rudez",4000,"Mil@Min 08:00PM ET",7.563,"Min"
"C","Cristiano Felício",4000,"Dal@Chi 08:00PM ET",0,"Chi"
"PG","Tyus Jones",4000,"Mil@Min 08:00PM ET",0,"Min"
"SF","Kelly Oubre Jr.",4000,"Was@Tor 07:30PM ET",0,"Was"
"SG","Rashad Vaughn",4000,"Mil@Min 08:00PM ET",0,"Mil"
"SF","Axel Toupane",4000,"Was@Tor 07:30PM ET",0,"Tor"
